input,labels
"Not very good: This is one of the worst endtimes novels I've ever read. The dialouge is horrible, the characters paper thin and the plot obvious and boring. There's much better out there. Save your money and try We All Fall Down by Caldwell or the Last Day by Kleier. Both are thoughtful, wonderful reads. This is neither
",1
"Love Makita Products but this Light is JUNK: I bought this light from Fat Boy Tools on Amazon and right after the 30 day policy was up the on/off button began not functioning. Apparently this is a common problem with this light. I can cycle the light switch but it shuts off every 15 seconds even with a full charge battery. I am not happy with this one and it has been a waste of money. DO NOT BUY unless you just want a headache.
",1
"Worst baby book ever: I bought this on the great reviews. I should not have listened. This book is all about the author. Notice her name prominently displayed on the front cover. The drawings are cute but there are too many pages on items that should take a couple of lines. This book is all about making the authors' art look nice than telling the story about your baby. I w rote a few lines in it already and then got mad so I can't return it. Now I must throw this away and get another baby book.
",1
"NOT PRODUCT ADVERTISED: This DVD set is not actually the Joy of Painting series. It is a set of instructional videos. The actual series is a different item, not to mention MUCH longer. HEADS UP.
",1
"extremely dry: The book moves through so many people so quickly that it is difficult to follow what is being talked about. The names are unfamiliar, the places are unfamiliar; and the maps often don't name the areas being mentioned. The font is extremely small and eye strain is also a problem. This type of material is what makes history unpalatable. I have discovered since leaving school that history is fascinating, but one needs to be able to learn about the times, the people and the places. Just dates and events, with people never being fleshed out is extremely boring. I was very disappointed in these books.
",1
"Merry Christmas With Love!: rocca hula hula! This is the best Christmas album i ever heard.Clays voice is so amazing.
",0
"battery eater: the camera is good, but it goes through batteries very fast, I would get rechargeable ones if you get this camera. I mean every time you use it you need new batteries.
",1
"Not extremely useful: I've only used this book a few times and find it hardly useful. There are quite a few brands and products that I use that aren't listed in this book. This book is small and difficult to use. There also seems to be a stong bias to certain brands only. You'll get just as much use reading the back of packages yourself or reading the plastic bags in the produce department. Don't waste you money.
",1
"It's interesting to hear Napoleon Hill explain his life strategies.: Apparently, Napoleon Hill's recording is in the public domain as this is a low cost mass produced cd with mp3 files. I envision someone burning dozens in their basement and selling them online. I bought it; it works, the content is great.
",0
"Being a Jew during the Holocaust: I liked this book. It was heartwrenching, very detailed, and graphic.He told about what is was like to be a Jew during the Holocaust.I gathered that it was nothing but a living hell. Elie Wiesel helped me capture this very well. He wrote about the suffering and tourment he and the rest of the Jews had to go through and how they were all separated from there families.Millions of people died here. I would reccomend this book to anyone wanting to lean about the Holocaust.
",0
"Tastes Great but Less Filling: First of all I love(d ?)Skillet. The composition and arrangement of the music is always first rate, and this continues on this album. The sound quality, energy and excitement in their albums is always high, and this continues on this album. Their lyrics are always uncompromising, unashamedly Christian, and not shy about using the name of Jesus, and this is absolutely missing on this album. Lyrically what you get is Christianity lite, and Christianity in disguise. Oh don't get me wrong there is Christianity on this album, you'll just have to look for it, where in their other albums it was in the open for all to see. Skillet used to be my favorite lyrical band, and they also stood out as Christian leaders. Now they wear ""The Exploited"" t-shirts, and hide their faith. Where is the lyrical courage and genius of ""I Can?"" Seems to me like they're taking over the world by assimilating to it.
",1
"CUTE ITEM - BUT A SMALL PROBLEM: I HAVE THE BEDDING SET, MOBILE AND AN EXTRA VALANCE. I DECIDED TO ORDER THE SHELF TO MATCH WITH THE BEDDING. WHEN THE PACKAGE ARRIVED I OPENED IT UP AND THE SHELF HAD 2 SMALL DINGS ON THE FRONT OF IT. I TRIED TO HOLD IT UP TO SEE IF THEY WOULD BE NOTICEABLE AND THEY WOULD AS THEY ARE ON THE VERY FRONT. SO I SENT IT BACK AND HAD A NEW ONE SHIPPED. AFTER OPENING THE SECOND ONE IT HAD THE SAME PROBLEM. SO I HAD SO SEND THAT BACK TOO AND JUST WANTED A REFUND - I DIDN'T WANT TO KEEP GETTING NEW ONES JUST TO OPEN THEM AND FIND THAT THEY WERE DEFECTIVE. I AM NOT SURE WHY IT WAS LIKE THAT BECAUSE IT WAS VERY WELL PACKAGED.
",1
"Yikes, this thing exploded!: We thought this was a good size and fit our car nicely. On our second trip, however, the car carrier ripped down the side. Luckily we didn't loose anything. But all of our stuff did get COVERED in black flakes from where the carrier stretched and shredded (I think on the bottom?). We got this to protect our things and make our car ride more convenient, but instead we got a mess and had to ride the rest of the trip carrying things our our laps!
",1
"Firelight-DVD: As this is my favorite movie, I thought I would order it from Amazon to keep it forever. The ordering process was easy and efficient. I received the movie within two weeks of the date of ordering. I was surprised to see that the DVD cover was 90% in an Asian language. I was worried that the movie would be in another language other than English, but I was relieved to find that it was in English with subtitles that you could turn off. I do think that it should be clearly stated that this product was for the Asian market but it still could be viewed by someone who only understands English.
",1
"Great tripod for my Galileoscope: I bought this tripod as a mount for my ""Galileoscope"" ([...]). Works great! Just the right balance of good stability and low weight. Also has enough height extension range to allow both 6'1"" dad and 5' daughter to comfortably use the Galileoscope. I highly recommend this tripod.
",0
"Mastered doesn't mean better: The movie is the same as the 1986 production; however, the mastered version has altered many of the sounds as well as the script. To put this in perspective, take your favorite movie and blank out the best ""one-liners"" and you have this mastered version.I'd love to know where I can get an un-mastered version of this classic. I have sent this one back to Amazon and they have credited my money back.
",1
"Guilty Pleasure...: There are faults with the plot of this film. I remember thinking, ""OMG, this will be the male version of The Craft!"" The reality is its not that good but I still gave it 4 stars because I find it damn entertaining anytime you put that many attractive men in one movie. I bought it for my best friend and we regularly watch this movie for no good reason other than, as we call it, ""The pretty of it all.""I know its a bad film but I still like it, sue me. It is bad in a way I still find enjoyable and to be fair it wasn't billed as the greatest movie ever. Even The Craft was a surprise hit so my expectations for this film were not that high and it didn't disappoint.
",0
"Not completely seamless, but more than workable.: I'd been hooking up my 360 with an ethernet cable to my PC for a while, which I'd set up to share its wireless connection -- can you believe someone sells instructions for doing that on eBay? Not exactly rocket science, people -- when Amazon pointed me to this item. It's been perfectly functional since I got it. The only hassle is:(1) I have to unplug the power cable when I want to turn it off, and(2) it only connects after I run the Test Connection utility after each power-up. (Settings panel > Network > Test XBox LIVE Connection) This may be because I've set my 360 with a static IP address locally, so I can forward the XBL ports to it on the router.But to get rid of the cable running down the hall to my PC, it's worth it.
",0
"MUSIC OF IRELAND: IT WAS BEAUTIFUL ON VINYL AND IT'S BEAUTIFUL ON CDALL 5 GUITARISTS AND THEIR SELECTIONS ARE EXCELLENT
",0
"No smell to it!: I bought this hoping for a nice almond aroma. It smells like nothing at all. Complete total waste of money!
",1
"Preserve, restore, don't alter!: I am okay with modern visual effects, good or bad, but don't alter what was... I want things on blue-ray or DVD but I want to see them as they were, even if they are laughable. Restore and preserve past television shows and movies, remake or ""re-imagine"" them, but don't alter old shows and movies. At least give me the original as an option. In case you wondered the CGI replacement scenes in these aren't always very good.
",1
"Fits and is Very Comfortable: This is very true to size if you follow the weight chart! It gives a nice amount of support for big chested women, yet is lightweight so you can enjoy the affair you are wearing it to and not feel sucked in and tortured.. The only problem I have with it is worrying about the bathroom,,,,,,,sure there is a big enough gap to urinate ,,,,,but if you have to really go----I d have to take it all off to be sure. I took one star away for my bathroom issue.....but I love it!
",0
"Tank Cracked, Water Damaged Cabinets: We loved this feature in our kitchen remodel 3 years ago. We drink a lot of tea and found it so convenient. Unfortunately, I discovered that is has been leaking under the sink. Not sure for how long, but long enough to cause a lot of damage to our custom cabinets. I haven't yet gone into the crawl space to look for damage to the floor and framing. I'm a little afraid of what I'll discover. Such a bummer. I wish I had read the reviews!
",1
"Excellent intefase, the best mp3 player ever: Easy to use, excellent interfase. Apple needs to increase room at minimum 60GB in the ipod touch models.
",0
"Works great easy to program: Took only a couple minutes to program and works fantastic! Simple and easy to use without a lot of hassle
",0
"Serious Writing--Not Erotica: Mary Gaitskill understands compulsion well. She takes you along the fringe and down the dark alleys of sexual urgency without pandering or exploiting. These stories are not designed to titillate, although some of them may. There is nothing mechanical, cliched, or pornographic about them. They are stories about the desire for intimacy--or at least some sense of contact--and the difficulty of achieving it. Stories of passion mixed with cold calculation. Is this the ""other""? Or is this you and me? The harsh light of ""perverseness"" throws these issues into even sharper relief. A particulary fine example of this is the ironically titled story, ""A Romantic Weekend,"" which manages to be both sad and comical. Gaitskill takes a detached view of her characters, but is not pitiless. Her ability to sketch them so precisely presupposes a degree of affection, or acceptance.
",0
"Horrible!: ""A Girl of the Limberlost"" is one of my favorite books. I was so happy when I discovered it had been made into a movie. How disappointed I was that the movie was just terrible! The movie ended in the middle of the book leaving me to say, ""huh?"" when the credits started to role. The movie illiminated three major characters crucial to the plot and the charm of the book and altered one character so badly that the essence of his personality was completed misinterpreted. The pacing of this movie was slow, slow, slow. I suffered through it. Save your money! It's not even worth renting. What a shame that a beautifully written book did not translate to video. A great opportunity was missed! Save your time and money!
",1
"frustrating: these openings would be great if the other player played the exact moves that are in the example. I wish he'd shown examples of what to do and why if the other player deviates from the examples.
",1
"Unreliable: I cannot count on this to work. Sometimes it does and sometimes it doesn't. This has been a mistake and waste of money. In other words it is not reliable.
",1
"Looks can be deceiving: Having owned ""Chinese Cookery"" by Rose Cheng & Michele Morris for probably twenty years now, and having loved every recipe I have ever made from it, I had great hopes that HP Books would come through again with ""The Book of Thai Cooking.""The lovely pictures in this cookbook look just exactly like what you get when you prepare the recipe. In my experience with two recipes I've tried though, the pictures probably taste better than what the recipes will produce, should one choose to lick them.All in all I'm quite disappointed by this book and probably won't try any more of its recipes.Does anyone know of a good Thai cookbook?
",1
"You feel like you could be in the seat yourself.: I found this book to be the perfect balance of information about the aircraft and the men who fly them. You learn enough about the planes to understand the dangers involved and also get a good feel for the kind of person it takes to strap into one of these machines. Good insight into the behind the scenes stuff that are all the makings of a pilot soap opera. I only wish it included more discussion of the other race classes at Reno as it focused primarily on the Unlimited Class. But definitely worth the ride.
",0
"Cute bad fit: This shoe would have been ideal except for the fit. It was too short and the toe area too flat. I have worn VanEli 8N for years, but this was not comfortable.
",1
"A Holiday Classic Has Been Saved: The first edition of this dvd was ok but lacked in the special features area and dvd quality. Thankfully the Family Fun edition has been released and the quality is excellent. This new edition has 5.1 sound and the picture quality is so much more crisper. This dvd is loaded with special features. It's hard to believe that Home Alone came out more than 16 years ago and has stood the test of time and is destined to be a holiday classic. Great fun movie...
",0
"Try the mattress before you go camping.: This bed looked like the perfect answer for a camper who has difficulty getting up off the floor of the tent. However, we didn't test the mattress before we went camping and found that the mattress leaked! Coleman is willing to replace it, but not in time for days of discomfort camping on a cot that is incredibly uncomfortable without a mattress.
",1
"A-MAY-ZING: Quite simply the finest book ever written. The translation is breathtakingly eloquent. I have read each night over and over again.
",0
"It doesn't matter if you win or lose, so long as you win . .: British humor, very, very British. If you *don't* like losing, develop the skills needed so that you always win. In any social situation a definite hierarchy develops. Potter's work can be considered a manual for anyone seeking to become the top dog. This volume contains four books previously published separately: Gamesmanship, Lifemanship, One-upmanship, and Supermanship. Potter's own work in the field of becoming one-up on one's fellow man is supplemented by the researches of others in various fields: the carmanship of Godfrey Plaste; the art of not rock-climbing of G. Odoreida; the clubmanship of Hugo Coating; and the many contributions of Gattling-Fenn. Recommended reading for anyone wishing to make Machiavelli gasp in admiration . . .
",0
"best band ever: this band is inspiring with an upbeat tempo you cant help but love after 5 years i can still press play sit back and let the music take you away. you wont regret buying this cd cadet is awesomenessmusic is reminiscent of relient k and the offspringcadet pwnes all else
",0
"They tried but failed: I loved the book this movie is based on. I thought it fit pretty well with the story. However, a couple major aspects made it painful to watch. The movie attempted realism but completely disregarded major things.All the women had shiny and freshly shaved legs. This was a large distraction from the period the directors were trying to create.Also, there was too much of a sense of the 20th century. The characters movement was at times very modern as was the quality of speech.The directors could have done a much better job with the period.
",1
"Pirate fam: My daughter has hung this up in her room. I think it's ugly but she is a fan of Pirates of the Caribbean and loves this ""skull."" He talks and tells jokes and you can cut him off so it doesn't wake you at night.
",0
"Completely Overwhelming: This movie shocked me to the core. I didn't know weather to be angry or horrified. The girls portrayed in the movie knew more about the world than most 50 year old adults I know. But I guess all in all it was a movie and not all thirteen year olds are like that. (At least I hope they aren't) Another thing I couldnt figure out if this was based on a true story or fictional. I was left in a state of duh for the rest of my evening.
",1
"what did you say?: This phone is an absalute mistake. It sounds like you are putting your ear up to a pig. I would rather talk into a pencile.The speaker will not turn off and the it does not get good reception. If amazon .com had a negitive 100000 star that is what I would rate it. This phone is a piece of (...)
",1
"No larger than a normal pumpkin: Seeds produced fruit that was no larger than a normal pumpkin. Grew fast to begin with and just stopped. Very disappointed after all the time and effort put into the project.
",1
"Not exactly great literature, but not bad: I found this book entertaining while vaguely pointless. It enphasis on how looks are not as important as character. However, I think it strayed from that when describing how much Scottie-Ann wanted to win the pageant. Don't get me wrong. I DID like it, and I found it to be well written, humorous, and enjoyable. It is a very quick read, and I would recommend it to kids who enjoy reading about teen problems and growing up.
",0
"Dull hippie philosophy: Do you enjoy the intellectual depth that greeting cards provide? How about the careful thought that bumper stickers demonstrate? Are you excited by windbags, braggarts, pedants, and Mr Know-it-alls? Do you drool at the thought of yet another dispatch from the me generation, the baby boomers? If so, this book will thrill you. If not, in other words, if you enjoy challenging reading and original thinking you will find this tome dull, cliche-ridden, pretentious, and authoritarian.
",1
"Only For The Most Rabid Of Fans: I have to admit, I was never a Clay fan. I was all about Trenyce all season. However, Clay's talent was undeniable. However, this CD is truly a poor showing. The cover of Bridge Over Troubled Water is just not nearly as good as the original. This Is The Night is annoying and uninspiring. If you're the type of person who'd buy Clay's used gum, then go ahead. For the casual fan, I can't recommend this CD.
",1
"dont push: this song is one of my favs but like any other sublime song its great sublime is the greatest band ever
",1
"Comments from a distributor: Critically acclaimed composer and performer Bradley Sowash blends contemporary jazz with classical stylings in these spirited solo piano pieces. Fast-paced, lyrical selections in which Sowash beautifully captures the pleasure of life's most intense moments.
",0
"This video game is great: I have played NBA Street and NBA Street Volume 2, but NBA Street V3 has got to be the best one I've played. I played this one in Nintendo Gamecube, and the gamebreaker has been even better than the original gamebreakers. It would have been even better if there was a Three-Point Shootout along with the Dunk Contest. I give this game a 10 out of 10.
",0
"No Sanctuary: ""No Sanctuary"" opens with a new opportunity for Bay Butler to start her life over after being wrongfully accused of murder and sent to prison. She's fiercly independent, which does not suit her mysterious benefactor, a wealthy matron with a hidden agenda. Toss in a cop who has always had his doubts of Bay's guilt, and you have a mystery on your hands. Who is responsible for Bay's being sent to prison? And, what do they want from her now?The book was okay, but I wasn't able to become attached to the characters.
",1
"Great natural-looking mascara: Well, no mascara that I know of looks totally natural (except one by Shiseido that is no longer made, as far as I can tell). I've been iso a light-weight mascara in brown that has just enough umph to cover the powder that most shadows make on lashes. This one is the best I've found--after trying more expensive department and drugstore brands. I still would like to find one that deposits even less mascara-stuff on the brush, but it helps if I wipe the brush with a tissue before applying to lashes.I'm in my 50s, and most mascaras make me look worse instead of better. Somehow that mascara-y look is severe and accentuates wrinkles and aging, I think. I'm thankful I revisited this one, as I enjoyed it back in the 70s as well.
",0
"are you as tired of Dave Grohl as I am?: Do you wish that Kurt's ghost would start haunting Dave Grohl so that he: A. Wouldn't turn bad b-sides into bad soundtrack movie fodder in exchange for a $150,000 advance or B. He'd stop making music completely? I do.This soundtrack is a snapshot of everything that is wrong in popular music today. Even Andrew WK, who is at least from Detroit, is weak when up against the only decent song - which is from 1974.
",1
"It's Hot!: It heats up fast and works real nice. The included products were a bonus! Received item VERY FAST even though it was only weeks before Christmas. I recommend this seller and item.
",0
"Read a different Follett book: I wish I had read the reviews before reading this book, however it was a gift so I dove in. Follett is one of my favorite authors, but this book doesn't even seem to have been written by him. It reads like it was written for a cheeseball action movie. It would probably appeal to a high school level boy. Follett has written some fabulous books, too many to mention. Pick one of them and pass on this dog.
",1
"be careful: watch out when buying this. the picture shown wasn't what I received. I received the skin for the original ps2. Customer service was very helpful in trying to resolve the problem. but further research has me in fear that they are shipping me the same item again. If your looking for the guitar hero skin, then keep looking. you'll know you have the right thing by the higher price.
",1
"Not worth the money: This was really not worth the money. I bought it for my 5 year old nephew and thought it would be more educational but it was rather lame.
",1
"Don't bother: Petzold failed on this one.You can only loose time reading it. the author clearly missed the concept here. Yes introducing XAML from the first chapters IS important and also important are images and graphics on a book like that (not to make you understand the concepts, that's not the reason of course). In a later book of Petzold about 3d graphics he starts immediately with xaml.Difficult to follow with unneccesary hardships. Sorry, cause otherwise Petzold is a great author and teached many things regarding MS's product line.
",1
"Like to have it. But ... NOT AT THIS HIGH PRICE!!: As others have said above - the target group for this series is dieing off.There are fewer of us ever day.I liked it. It was one of my favorites when I was a kid.But $258 ???? Sheeez !! They are out of their mind!$25.89 would be more like it. This is OLD black & white TV stuff.Remastered or not - it only gets so good.I guess they could hold out for the HIGH dollars.And then dig a hole and bury them, like Atari did with many of their games when they wouldn't sell. Hehehe :D :D(and the world went on without looking back) ;)
",1
"Brilliant--cutting-edge research and eloquent prose: This book is stunningly brilliant--it makes sense of all the new cutting-edge brain research, drawing on the author's many years as an investigative reporter. But it's also highly readable, utterly compelling, and wholly eloquent in tackling one of the taboo truths about mothers all over the world and especially in the developed West, where our to-do lists grow by the minute, our media tell us to count our blessings, and medical professionals often fail to address signs and symptoms of depression at an early stage. I am buying copies for everyone I know who is a mother, has a mother, or cares about mental health: In short, I want everyone to read this book! its message, ultimately, is rather hopeful and highlights the resilience and resourcefulness of mothers and children. I LOVED THIS BOOK.
",0
"Beyond Disappointing -: I thought based on the author's credentials I would at least be somewhat impressed with her books. I guess after reading Thomas Hardy, Jane Austen, Elizabeth Gaskell, Charles Dickens, Charlotte Bronte etc...I had my standards WAY too high, but I was so blindsided by the pure lack of depth, again, based on the author's credentials Yale, Harvard...a stint in England researching this book I was expecting to be at least mildly impressed. If you are familiar with the character ""Patty Simcox"" from ""Grease"", if she wrote a book, I would imagine it would be comparable. The only thing missing here are the hearts above the ""i's"" and smiley faces for periods....middle school dialogue combined with the intrigue of a fifty year old Nancy Drew book....gah!!! Save yourself!
",1
"Elementary: This book is extremely elementary; it's truly for somebody who has no art experience at all. If you are an Interior Designer looking for a book on perspective drawings chances are you already know way more than this book has to offer. I would recommendPerspective for Interior Designersby John Pile, it's extensive yet very clear and concise.
",1
"Calphalon Katana: This knife is well balanced, sharp, and weights comfortably in your hand. A must have for every kitchen and serious cook.
",0
"not the same as the photo: Item I received was not the same as the photo. I expected a older model, but the product I received was a newer design. Although it came with an adapter, the adapter was too small for my onGaurd bike lock.
",1
"Rare Insights Into American History: After spending about two decades in America's penal system for a crime he did not commit Dhoruba bin Wahad gives us his too brief insights into America and it's relationship with Blacks. Interms of clearity perhaps only matched by Chomsky.The other two writers [Jamal and Shakur] one on death row, the other exiled in Cuba also peel back the illusions of justice for all citzens in America. A vivid account of what it is to have the most powerful country in the world trying to destroy you for standing up for justice.Also a great general history lesson.Book should be part of a mandatory reading list in public schools for all students black and white.
",0
"excellent: The best fantasy I've read in a long time. Great characters, compelling plot, lots of surprises. Lots of depth. Several reviewers have already said it better, so I'll leave it at that.
",0
"Why bother?: Why bother to read a book when a review alone clearly indicates that the author didn't do their homework. For example, according to other reviews, this book describes SAS as one of the most spectacular companies. However, that is just the company's excellent PR at work. Obviously there was nothing resembling investigative journalism. To include SAS in this book when there is a wealth of unethical behavior, payoffs, etc. going on there is just lazy work by the authors and questions the entire book's credibility.
",1
"great stuff: I've been using Neutrogena T-Gel for a few years now, and there's a reason why I keep coming back to the brown shampoo in the clear bottle with a lavender cap. It works, plain and simple. Other reviewers here complain about T-Gel's smell, but I actually prefer it to overly fruity or heavily-perfumed fragrances of other shampoos.I find this product to be particularly useful in the fall and winter months, as that is when it gets really cold outside and my skin dries up. This shampoo, if used as directed, will minimize the appearance of scalp flaking (unless you have a crazy serious skin condition.) But for the average person like me, this stuff works very well, and I don't even need to apply it every single day. I usually alternate between T-Gel and my regular shampoo, which really helps the bottle last a long time. I bought a 16oz bottle close to a year ago, and I've still got ~1/4 of the bottle left.
",0
"Terrible movie: I had to see some mumblecore titles for a class. I thought this could be the worst movie ever made, until I saw Hannah Takes the Stairs. This is the 2nd worst movie ever made. No story, no plot, uninteresting characters. You'll honestly get more enjoyment listening to your dishwasher run for the length of this movie.
",1
"best hair metal album: Appetite for destruction is very good for what it is, which is hair metal, although it is not as good as Def Leppard's Hysteria and Pyromania. These guys learned alot from bands like Ratt and POison, and they are definitely better. This alubm is not their best, tho. Use You Illusion I & II are much better than Appetite because by that time they were better musicians are played a better variety of music. Guns n Roses best songs were written by other people (Live and Let Die, Knockin' on Heaven's Door). The best song they wrote was November Rain but that sounds like Elton John anyway.As far as hairmetal goes, these guys were one of the best, but buy Use You Illusion I and II and Spagetti Incident before buying this album.
",1
"A Boring Challenge To Read: Disappointing effort of master. Character narratives require close attention from reader to follow the obtuse tale. Arcane textbooks require less study. Reading this pseudo history is more of a chore than a pleasure. Continunity of story line so convoluted a dedicated reader must prepare a written outline to even attempt to follow the premise. Le Carre should know readers of the genre do not wish to engage in hard labor, we just want a good read. This was the least engaging LeCarre this reader has experienced.
",1
"Perfect gift for a Teenager: My neece loved those shadesThe case that comes with the glasses is very beautiful and usefulJust the High quality expected from a RayBan gear
",0
"BOUGHT AS A GIFT: I bought this as a gift for the Christmas holiday. The DVD arrived in a timely manner just in time for the holiday. Amazon did a great job as usual.
",0
"Great Book on Business Requirements: I work for CDW and this book came highly recommended. It did not disappoint as it is clear, well written, and organized in a logical format. I have been writing requirements for many years and this is by far the best overall book on the subject that I have read. The suggestions for labeling and writing requirements alone make it worth the price of admission.
",0
"Beautiful Music: I borrowed this CD from a friend and liked it so much that I'm buying my own copy. This is some of the most hauntingly beautiful music I have ever heard. It transports you to some heavenly place with etheral beings singing and playing for you.
",0
"this is the best!!!!: Beth and Scott came to our school and since my daughter is in afternoon kindergarten I had the opportunity to see them perform when I brought her in for a morning show. They are excellent!! I ahd so much frun I bought both this CD as well as t he christmas CD. We listen in the car at home and my Daisy girl scouts love it.
",0
"Barely edible and way overpriced: I wanted to try this as an alternative to the typical ramen cup or bowl of noodles and was expecting a premium alternative looking at the price. I tried it and was not impressed at all. It's basically instead of a dry noodle product partially hydrated and instead of a powered sauce, the sauce is already hydrated. So it's a dry ramen type product at three times the price because it has most of the water in it still (I paid $3.00 for one bowl). I was expecting some meat or veggies in it like the hormel entrees do, but all this had was a few dehydrated veggies and spices and a small bag of seeds to sprinkle on. Not worth the expense to me, and it also did not taste very great to me. 1 star, overpriced for the taste.
",1
"Bummer: I've had this TV for 2 years now, and 1 year 1 month into it (right after the warrantee expired) It started to turn black whenever there was high humidity... After some googling, I found that this is actually a common problem with Samsung TV's, yet Samsung has done nothing to address the issue...Other than the occasional hours where the TV just doesn't work, the TV is actually great quality picture and features. To bad this will most likely be my last Samsung TV as other models have the same problem and Samsung has been slow to respond to it.
",1
"Our 1st movie!: Me and my girlfriend for almost 3 years went 2 see this movie on our 1st date! so i bought it for her on our anniversary! GREAT MOVIE! =DArrived.in 3 days!ConditionNEW!Great buy!
",0
"Laughable: These guys stink and, guess what, they always did. I was around when they were in their 'pomp' and they were a laughing stock among most metal fans then.Anyone buying this hoping to hear proto-extreme metal will only find a group of hamfisted village idiots churning out puny, clichéd hard rock with comedy vocals, muddy production and playing that most teenagers could now better. Only their image got them any attention at the time. The music is seminal in the way dial-up is a seminal internet connection or a grain of sand is a seminal pearl.If you want seminal, stick to Celtic Frost, Bathory, Mercyful Fate, early Slayer. Don't bother with this.
",1
"Pretty rad: Lily Allen's music is pretty rad. She's got some cool reggae beats and intertwines it with her own weird stuff. And it's weird in a good way. Not to sound cliché, but she is a huge up and coming artist and she's got ""wicked"" style. Cool brit import. for sure.
",0
"Mailing it in.: Salter had a handful of interesting and compelling thoughts for a few desultory years. Then he woke up one morning and had an epiphany: ""I don't have real book in me that could accomodate these concepts, but perhaps I could write some short stories and sell them to an audience consisting of former readers who liked my work, or new folks who didn't do their homework. A week later ""Last Night"" was finished. A pithy, boring work, interspersed with a handful of interesting and compelling thoughts. Oh, I said that already. So did Mr. Salter.
",1
"Not very helpful to me: This book was not very helpful to me. Just pictures of rooms being used as offices, but not realistic in my view.
",1
"Yawn: I picked up this book while I was traveling, hoping to find something nice and easy that would occupy me while the plane zoomed through the air towards home. Big bummer. I finished it only because I was stuck on the plane without anything else (I even read the in-flight magazine, yikes!).I can't beleive that this is a ""best selling"" mystery! Pallid, forgettable characters that even the author seems bored of. Cheesy scenes that felt like they were straight from a made for TV movie.And the ending! Please! Maybe Ms. Grafton should take a break for a while and get the juices flowing again.
",1
"Sexy Clint Eastwood...: This is an excellent ""flashback"" of a very Sexy and Smoldering Clint Eastwood. This movie will keep you on the edge of your seat and leave you longing for more Clint!!!! I am in love with the ward robe of the 70's era. And immediately wanted a trip to Monterey,California. Great cast, great screenplay and excellent location!!! I totally give this movie 5 stars and Up.
",0
"A rich story worthy of wide readership.: In a field of much-hyped and overhyped ""legal thrillers"", some of which are merely poor imitations of Grisham and Taylor Rosenberg plots, this book stands out for its uncannily interwoven depiction of the many characters involved in a criminal investigation, from the journalists who cover it, to the politicos whose weigh in their agenda interests, to the prosecutors and police officers, to the victim who turns out to be not quite what he seemed to be in life. The characters have rich emotional histories which come into play, and there is even a very touching romance subplot. A great read!
",0
"Not a Christian read: This book was recommended to me, but I thought it was a Christian book... though it cites some scripture, I quickly discerned this was not inspired by the Holy Spirit.
",1
"Stupid Characters - very very unrealistic: How can anybody like a book where the first 190 pages are about the most inane misunderstandings. If anybody had acted normal then the misunderstanding after misunderstanding would have been cleared up in 10 pages. How can half a book be about the flirtation between the wedding consultant and the (supposed) fiance of the client? Because NOBODY ever uses the fiance's name??? How can you spend 190 pages saying ""YOUR FIANCE"" and ""MY FIANCE"" instead of ""NICK"". How could a woman be so stupid as to flirt with an engaged man without ever saying ""WHY ARE YOU FLIRTING WITH ME WHEN YOU ARE ENGAGED?""I did finish this book, but I had to leap 10 pages at a time for much of it to see if it was going to get less slapstick. It never did. I did find the Darla & fiance wedding at the end funny (in a 3 stooges type of way), but I immediately threw the book into the ""donate"" bag. This is not worth your time. I have no idea how it ended up with so many good reviews.
",1
"Disappointing and thin: I purchased this book expecting very good things. I found the plot very thin and predictable. There was very little suspense. It almost seemed like an abridged version of a book where all the detail leading up was left out. Also there didn't seem to be any character building or background to explain why these individuals would have such singleminded, and on the surface stupid, behaviour.
",1
"Misleading/False Item description: To be more customer oriented I would recommend changing the false/misleading product description. The iTrip for iPod only works with certain iPods and certainly does not work with the new 5th generation video iPod. So the result was a complete waste of my time and money to purchase a product that does not do what it's product description implies.
",1
"Seems high quality: I bought these wiper blades for my 2003 Tahoe. They came nicely packaged, looked like good quality and were easy to install. After a few rainy weeks in Oregon they are leaving streaks on the windshield. I've cleaned them and they are still leaving streaks. I don't recommended this product.
",1
"What is in a 'digital camera accessory kit'?: I have yet to stumble across a listing for anything comparable to this FP-SO1 thingy that says what on earth is _in_ the kit.The picture of the green box doesn't enlarge enough for me to be able to hazard a guess beyond bag, maybe a memory disk, and maybe a battery charger.So I can't tell what this pig in a poke is; and I can't tell if the kit includes things I might need that aren't included with the camera itself, or things that I might want like a USB cable; and I can't comparison-shop between the mystery kit and an a la carte selection.Maybe I've missed the right button to click, but it sure seems like there ought to be a way- without making a trip to an Office Depot, for instance- to know what is in this accessory kit.
",1
"Unhelpful and Unrealistic: I found this book unhelpful in my road to successful weight loss....it seems like the same thing I have been told all along...don't eat processed foods. that is basically what it boils down to...the only part I found interesting in this book was the 10 power foods and that information helps me to make better choices about the foods I eat, but other than that, I found nothing useful about this book...I wasn't completely thrilled by the recipes, and found them too time consuming for my schedule...this isn't a fix for weight loss and it seems like an unrealistic plan to follow for the rest of my life...I found wave one too restrictive, I felt like I was starving myself and by halfway thru wave one I didn't feel better, in fact, I felt much worse...I personally would not recommend this book to anyone
",1
"a hodgepodge of multiple choice questions: This book contains a hodgepodge of multiple choice questions, in no particular logical sequence, which are unrelated to the AP German exam.
",1
"OVERPRICED: Item looks good on wall but does not have the greatest sound quality and seems to be a bit cheaply built. For the money I would get a nice shelf unit.
",1
